label,area,perimeter,y,x,radius
1,110,35.89949493661166,11.045454545454545,76.96363636363637,5.9
2,190,69.04163056034261,8.963157894736842,170.53684210526316,7.8
3,106,35.89949493661167,15.11320754716981,200.70754716981133,5.8
4,205,71.79898987322333,8.829268292682928,215.1951219512195,8.1
5,112,36.72792206135786,14.901785714285714,284.13392857142856,6.0
6,110,35.89949493661166,12.963636363636363,394.04545454545456,5.9
7,117,38.14213562373095,14.0,407.35897435897436,6.1
8,109,35.89949493661166,16.146788990825687,328.22935779816515,5.9
9,107,35.31370849898475,16.925233644859812,265.0747663551402,5.8
10,99,35.55634918610404,18.050505050505052,371.2323232323232,5.6
11,102,37.31370849898477,18.58823529411765,56.745098039215684,5.7
12,104,35.55634918610404,18.21153846153846,117.08653846153847,5.8
13,108,35.89949493661166,18.12962962962963,432.7962962962963,5.9
14,112,38.31370849898476,21.803571428571427,153.90178571428572,6.0
15,119,37.31370849898476,23.529411764705884,67.04201680672269,6.2
16,122,37.89949493661166,23.07377049180328,314.58196721311475,6.2
17,110,37.55634918610404,24.20909090909091,232.8272727272727,5.9
18,111,36.72792206135786,25.0990990990991,101.93693693693693,5.9
19,119,38.72792206135785,27.613445378151262,181.73949579831933,6.2
20,128,39.31370849898476,27.96875,276.9609375,6.4
21,108,36.48528137423857,28.083333333333332,341.1388888888889,5.9
22,126,38.72792206135785,27.603174603174605,413.3968253968254,6.3
23,125,39.31370849898476,29.696,259.72,6.3
24,131,39.31370849898476,30.458015267175572,364.5267175572519,6.5
25,119,38.72792206135785,32.15126050420168,37.79831932773109,6.2
26,67,29.899494936611667,33.865671641791046,94.16417910447761,4.6
27,120,38.97056274847714,33.85,121.79166666666667,6.2
28,121,37.89949493661166,34.54545454545455,214.03305785123968,6.2
29,114,38.384776310850235,35.30701754385965,246.02631578947367,6.0
30,129,40.384776310850235,36.310077519379846,193.75968992248062,6.4
31,117,37.31370849898476,36.63247863247863,328.02564102564105,6.1
32,114,37.55634918610404,37.89473684210526,150.96491228070175,6.0
33,110,38.142135623730944,38.64545454545455,354.1818181818182,5.9
34,115,37.31370849898475,38.06956521739131,378.2086956521739,6.1
35,106,36.72792206135786,40.65094339622642,47.12264150943396,5.8
36,109,35.89949493661166,39.8348623853211,398.1467889908257,5.9
37,71,29.899494936611664,40.028169014084504,433.32394366197184,4.8
38,111,36.72792206135786,41.0990990990991,302.93693693693695,5.9
39,130,40.14213562373095,42.59230769230769,132.24615384615385,6.4
40,110,36.72792206135785,43.31818181818182,233.1909090909091,5.9
41,111,36.72792206135785,44.16216216216216,340.14414414414415,5.9
42,102,35.55634918610404,45.754901960784316,248.66666666666666,5.7
43,116,36.72792206135786,45.14655172413793,290.41379310344826,6.1
44,111,37.31370849898476,46.93693693693694,101.72072072072072,5.9
45,111,36.72792206135785,46.909909909909906,186.06306306306305,5.9
46,120,38.14213562373095,49.45,214.25,6.2
47,114,36.72792206135785,48.921052631578945,365.3333333333333,6.0
48,111,40.55634918610404,49.86486486486486,429.1981981981982,5.9
49,88,33.72792206135786,50.59090909090909,20.386363636363637,5.3
50,122,38.970562748477136,54.18852459016394,379.45081967213116,6.2
51,120,38.97056274847714,54.71666666666667,53.7,6.2
