label,area,perimeter,y,x,radius
2,163,51.79898987322333,11.631901840490798,72.61349693251533,7.2
3,84,32.72792206135785,13.130952380952381,108.42857142857143,5.2
4,106,41.21320343559643,11.49056603773585,131.27358490566039,5.8
6,123,39.55634918610404,10.983739837398375,154.02439024390245,6.3
7,109,35.31370849898476,16.0,97.0,5.9
8,317,76.49137802864846,14.842271293375394,46.38485804416404,10.0
9,115,38.14213562373095,22.252173913043478,61.37391304347826,6.1
10,103,35.071067811865476,23.04854368932039,168.53398058252426,5.7
11,110,36.97056274847714,24.963636363636365,154.15454545454546,5.9
12,112,36.48528137423857,27.875,81.95535714285714,6.0
13,118,37.89949493661167,28.73728813559322,121.03389830508475,6.1
14,140,42.14213562373095,32.01428571428571,34.707142857142856,6.7
15,115,38.384776310850235,31.73913043478261,143.12173913043478,6.1
16,110,36.72792206135786,37.85454545454545,68.38181818181818,5.9
17,101,35.31370849898475,40.37623762376238,169.23762376237624,5.7
18,110,36.14213562373095,42.236363636363635,12.7,5.9
19,120,37.31370849898476,44.0,128.5,6.2
20,110,35.89949493661166,47.03636363636364,95.95454545454545,5.9
21,120,37.55634918610404,47.56666666666667,109.575,6.2
22,115,37.31370849898476,51.356521739130436,163.0,6.1
23,120,37.89949493661167,52.94166666666667,62.40833333333333,6.2
24,111,35.89949493661166,53.91891891891892,83.08108108108108,5.9
25,109,36.142135623730944,57.75229357798165,27.376146788990827,5.9
26,114,36.14213562373095,59.26315789473684,147.0,6.0
27,120,37.31370849898476,63.5,116.0,6.2
28,114,37.55634918610404,69.05263157894737,18.79824561403509,6.0
29,100,34.48528137423857,70.0,100.43,5.6
30,107,35.31370849898476,72.06542056074767,85.08411214953271,5.8
31,107,35.89949493661167,76.17757009345794,42.074766355140184,5.8
32,109,36.14213562373095,76.24770642201835,137.8256880733945,5.9
33,294,62.62741699796952,79.4047619047619,166.13945578231292,9.7
34,101,34.48528137423857,87.95049504950495,52.53465346534654,5.7
35,106,35.31370849898476,89.02830188679245,94.04716981132076,5.8
36,124,39.31370849898475,91.98387096774194,64.46774193548387,6.3
37,112,36.48528137423857,92.125,146.95535714285714,6.0
38,116,37.55634918610404,96.33620689655173,132.10344827586206,6.1
39,100,34.48528137423857,98.56,15.73,5.6
40,104,35.89949493661166,101.51923076923077,36.15384615384615,5.8
41,104,35.071067811865476,101.42307692307692,104.91346153846153,5.8
43,76,35.97056274847714,102.5657894736842,160.53947368421052,4.9
44,112,36.72792206135786,103.86607142857143,49.892857142857146,6.0
45,113,36.48528137423857,107.0,92.15929203539822,6.0
46,113,37.31370849898477,108.72566371681415,70.01769911504425,6.0
47,85,32.48528137423857,109.17647058823529,174.52941176470588,5.2
49,84,33.31370849898476,113.13095238095238,136.25,5.2
50,72,40.59188309203678,114.63888888888889,160.70833333333334,4.8
52,105,36.72792206135785,119.44761904761904,144.42857142857142,5.8
53,109,36.72792206135785,119.94495412844037,180.42201834862385,5.9
54,109,35.89949493661167,120.9908256880734,53.908256880733944,5.9
55,108,36.14213562373095,120.99074074074075,113.95370370370371,5.9
56,50,26.27817459305202,124.76,69.68,4.0
59,128,39.55634918610404,125.6171875,166.453125,6.4
60,113,38.97056274847714,128.86725663716814,13.300884955752212,6.0
62,112,37.31370849898476,128.76785714285714,39.99107142857143,6.0
63,112,37.31370849898475,130.84821428571428,77.99107142857143,6.0
64,122,37.89949493661166,136.0737704918033,128.41803278688525,6.2
65,108,35.89949493661166,136.96296296296296,153.03703703703704,5.9
66,101,34.48528137423857,136.95049504950495,176.53465346534654,5.7
67,122,38.72792206135785,139.9016393442623,63.84426229508197,6.2
68,119,37.31370849898476,141.9579831932773,35.529411764705884,6.2
69,111,36.48528137423857,141.99099099099098,91.08108108108108,5.9
70,76,36.14213562373095,146.77631578947367,169.0921052631579,4.9
71,110,35.89949493661166,147.03636363636363,47.95454545454545,5.9
72,112,37.798989873223334,148.26785714285714,18.330357142857142,6.0
73,110,35.89949493661167,151.1090909090909,73.12727272727273,5.9
75,98,35.071067811865476,162.44897959183675,54.59183673469388,5.6
76,112,36.72792206135786,163.02678571428572,176.09821428571428,6.0
77,73,32.97056274847714,164.57534246575344,14.643835616438356,4.8
78,343,77.07716446627535,162.95043731778426,112.88046647230321,10.4
79,110,35.89949493661166,166.1090909090909,70.27272727272727,5.9
80,113,36.72792206135785,165.79646017699116,133.08849557522123,6.0
81,112,36.14213562373095,170.44642857142858,38.875,6.0
82,110,36.48528137423857,173.4909090909091,165.35454545454544,5.9
83,116,39.21320343559642,174.20689655172413,27.879310344827587,6.1
84,111,35.89949493661166,176.9189189189189,13.08108108108108,5.9
86,83,38.384776310850235,176.15662650602408,55.51807228915663,5.1
87,108,35.31370849898476,177.9537037037037,79.97222222222223,5.9
